k,v
000200000010000102010020102001020100201020,5
000200002010100102010020102001020100211220,6
000200002010100102010020102001020102211221,6
000200002010100102010020102001220112211221,2
000200000010000102010020122021021102211120,2
000200000010000102010022122021121102211120,5
000200000010100102210022122021121102211120,2
000200002010100112210022122021121102211120,4
000200002211100112210022122021121102211120,1
010202002211100112210022122021121102211120,2
011202002211100112210222122021121102211120,0
000200001010000102000020100201020021221001,4
000200001010000102000020100201020021221121,5
000200001010000102000020102201020121221121,5
000200001010000102010020102201022121221121,5
000210000011021002101220120221021012101202,6
000200000010001002010200102020021102001120,5
000200000010101002010200102020021102021120,0
000210100011021002101220120221021012101222,5
000200010010101002010200102020221102021120,2
200200010010101002010201102020221102021120,5
200201010010101002010201122020221102021120,6
200201010010101002010201122020221122021121,6
200201010010101002210201122120221122021121,4
200221010011101002210201122120221122021121,6
200221010011121002211201122120221122021121,6
200221110011121002211201122120221122221121,1
000200001010100102010020102201222121221121,6
000200001010120102011020102201222121221121,2
000200001010120122011021102201222121221121,2
000200201110120122011021102201222121221121,5
020201201110120122011021102201222121221121,4
020201201110120122011021112221222121221121,0
022201201110120122011121112221222121221121,4
022201201112120122111121112221222121221121,4
022211201112122122111121112221222121221121,0
000200000010000122010021102001220102211120,2
000200000110200122010021102001220102211120,1
000202001110200122010021102001220102211120,4
000202001110200122010021122001221102211120,6
000202001110200122010021122021221102211121,4
000202001112200122110021122021221102211121,0
002202001112200122110121122021221102211121,4
022212001112200122110121122021221102211121,6
022212001112200122110121122221221112211121,6
022212001112220122111121122221221112211121,6
022212101112222122111121122221221112211121,0
000200001010000102000020100001020022201001,4
000200001010000102000020100001020022201121,6
000200001010000102000020100101022022201121,5
000200001010000102000020100121022122201121,4
000200001010000102000020112121022122201121,6
001200000110000012000002102210120122021012,6
001200000110000012001202102210120122021012,0
101200020110001012001222102211120122221012,1
101200022110001112001222102211120122221012,1
000000002010100102010020102001020100221020,6
000000002010100102010020102001020102221021,3
000100002010100102010020102001220102221021,6
000100002010100102010020102201220112221021,6
020200002010100102010012102001220102211120,0
000200000010100002010000102000020101201220,1
000200000010100002010020102001020101201220,1
000200002010100102010020102001020101201220,6
000200002010100102010020102001020121201221,6
000202002010100102010020102101020121201221,1
001000000110000012000002102200120122021012,6
001200000110000012001002102200120122021012,6
001200000110010012001002102200120122221012,1
001200000110010012001022102201120122221012,1
000202000010100002010002102002121201121120,0
000202000010100002010002102012121201121122,4
000200001010000102001020100201120020211022,5
000200001010000102001020102201120120211022,6
020200001010010102001020102201120120211022,4
000200000010000102010020102001022102211120,6
000200000010200102010020102001022102211121,1
000200001010200102010020102021022102211121,2
000200010010101002010220102021021102201122,2
000202000010100002210002112012121201121122,4
000000000010000002010000122021021102201120,5
000000000010100002210000122021021102201120,4
000000000011100002210020122021021102201120,1
000000000011100102210220122021021102201120,0
010201001010200102010020102001022102201122,4
020200001010010102001020102201122120211122,6
000200002010100102010020102021021102211122,2
000200000012000102102120120121221022111201,1
000200000210000012000002100000121200121120,4
000200000210000012200002110000121200121120,4
000200000211000012200002112000121200121120,5
000200000211000012210002112000121202121120,1
000200001010000102000020100001020200201021,6
000200001010000102000020100001020210221021,2
000200001010000102000020102001120210221021,5
000200001010200102010020102001120210221021,6
000200001010200102012020102101120210221021,4
200210010011001002100220120021021002101202,6
200210010011001002100220120021021012101222,5
200210010011001002100220122021021112101222,5
200210010011201002110220122021021112101222,5
200211010011201002110220122221021112101222,6
200211010011221002111220122221021112101222,6
200211110011221202111220122221021112101222,1
220211111011221202111220122221021112101222,2
220211111011221202111220122221221112111222,2
220211111011221222111221122221221112111222,2
001200000110000012001002102210120122221012,1
001200000110000012001022102211120122221012,1
001200002110000112001022102211120122221012,1
011200002110000112001222102211120122221012,6
000220000011000002100020120011021002101202,6
000220000011000002100220120011021012101202,0
000220000011001002100220120211021012101202,0
200220010011001002100220120211021012101202,6
000200000010100002010200102012020101201020,5
000201000010100002010200102012020101221020,2
000201000010100002010220102012120101221020,1
000201002010100102010220102012120101221020,6
000201002010100102010220102012120121221021,2
020201002010100102010221102012120121221021,6
020201002010102102010221102112120121221021,4
020201002010102102010221102112122121221121,6
020201002010122102011221102112122121221121,6
020201102010122122011221102112122121221121,2
020201122110122122011221102112122121221121,0
122201122110122122011221102112122121221121,4
122201122110122122211221112112122121221121,4
020202002010100102010020102021020101211021,0
020202002010100102010120102021220101211021,6
020202002010100102010120102221220111211021,0
020202022010101102010120102221220111211021,0
120202022010101102012120102221220111211021,6
120202022010111102012120102221220111211221,2
120202022010111122012121102221220111211221,6
120202122210111122012121102221220111211221,2
121202122210111122012121102221222111211221,4
121202122210111122212121112221222111211221,4
001200000110000112000022102211120122221012,6
011200002110020112001022102211120122221012,6
011200102110020112001222102211120122221012,0
011200122110021112001222102211120122221012,0
111200122110021112021222102211120122221012,5
111202122110121112021222102211120122221012,4
111202122110121112021222102211122122221112,4
111202122110121112221222112211122122221112,4
000200000010000012000002100000121200121122,4
000200000010000012200002110000121200121122,4
000200000011000012200002112000121200121122,5
000200000011000012210002112000121202121122,1
000100000210200012010102102020122101221120,0
000200000010000002010000102021221102211120,2
000200000010000002010021102021221102211120,1
000200000010000122010021102021221102211120,5
000200000010000102000022102101120120211122,5
000200000010200102010022102101120120211122,1
000000000010000102000020100201120120211022,6
000000000010000102001020102201120120211022,5
000000000010200102011020102201120120211022,2
000000000010200122011021102201120120211022,2
000202002010100102010020102001020100211020,4
000202002010100102010020102001020100211122,6
000202002010100102010020102001022110211122,2
000202002010100102010022102001122110211122,2
000202002210100112010022102001122110211122,0
000200000010000012000002100000120000121122,4
000200000010000012000002100002121000121122,0
